fecha,año,semana_epi,casos_dengue,temp,temp_max,temp_min,hum_esp,hum_rel,prec,dias_lluvia,vel_vi,vel_vi_max,vel_vi_min,uv,casos_dengue_lag_1,casos_dengue_lag_2,casos_dengue_lag_3,casos_dengue_lag_4,casos_dengue_lag_5,casos_dengue_lag_6,casos_dengue_lag_7,casos_dengue_lag_8,casos_dengue_lag_9,casos_dengue_lag_10,casos_dengue_lag_11,casos_dengue_lag_12,temp_lag_1,temp_lag_2,temp_lag_3,temp_lag_4,temp_lag_5,temp_lag_6,temp_lag_7,temp_lag_8,temp_lag_9,temp_lag_10,temp_lag_11,temp_lag_12,temp_max_lag_1,temp_max_lag_2,temp_max_lag_3,temp_max_lag_4,temp_max_lag_5,temp_max_lag_6,temp_max_lag_7,temp_max_lag_8,temp_max_lag_9,temp_max_lag_10,temp_max_lag_11,temp_max_lag_12,temp_min_lag_1,temp_min_lag_2,temp_min_lag_3,temp_min_lag_4,temp_min_lag_5,temp_min_lag_6,temp_min_lag_7,temp_min_lag_8,temp_min_lag_9,temp_min_lag_10,temp_min_lag_11,temp_min_lag_12,hum_esp_lag_1,hum_esp_lag_2,hum_esp_lag_3,hum_esp_lag_4,hum_esp_lag_5,hum_esp_lag_6,hum_esp_lag_7,hum_esp_lag_8,hum_esp_lag_9,hum_esp_lag_10,hum_esp_lag_11,hum_esp_lag_12,hum_rel_lag_1,hum_rel_lag_2,hum_rel_lag_3,hum_rel_lag_4,hum_rel_lag_5,hum_rel_lag_6,hum_rel_lag_7,hum_rel_lag_8,hum_rel_lag_9,hum_rel_lag_10,hum_rel_lag_11,hum_rel_lag_12,prec_lag_1,prec_lag_2,prec_lag_3,prec_lag_4,prec_lag_5,prec_lag_6,prec_lag_7,prec_lag_8,prec_lag_9,prec_lag_10,prec_lag_11,prec_lag_12,dias_lluvia_lag_1,dias_lluvia_lag_2,dias_lluvia_lag_3,dias_lluvia_lag_4,dias_lluvia_lag_5,dias_lluvia_lag_6,dias_lluvia_lag_7,dias_lluvia_lag_8,dias_lluvia_lag_9,dias_lluvia_lag_10,dias_lluvia_lag_11,dias_lluvia_lag_12,vel_vi_lag_1,vel_vi_lag_2,vel_vi_lag_3,vel_vi_lag_4,vel_vi_lag_5,vel_vi_lag_6,vel_vi_lag_7,vel_vi_lag_8,vel_vi_lag_9,vel_vi_lag_10,vel_vi_lag_11,vel_vi_lag_12,vel_vi_max_lag_1,vel_vi_max_lag_2,vel_vi_max_lag_3,vel_vi_max_lag_4,vel_vi_max_lag_5,vel_vi_max_lag_6,vel_vi_max_lag_7,vel_vi_max_lag_8,vel_vi_max_lag_9,vel_vi_max_lag_10,vel_vi_max_lag_11,vel_vi_max_lag_12,vel_vi_min_lag_1,vel_vi_min_lag_2,vel_vi_min_lag_3,vel_vi_min_lag_4,vel_vi_min_lag_5,vel_vi_min_lag_6,vel_vi_min_lag_7,vel_vi_min_lag_8,vel_vi_min_lag_9,vel_vi_min_lag_10,vel_vi_min_lag_11,vel_vi_min_lag_12,uv_lag_1,uv_lag_2,uv_lag_3,uv_lag_4,uv_lag_5,uv_lag_6,uv_lag_7,uv_lag_8,uv_lag_9,uv_lag_10,uv_lag_11,uv_lag_12
2021-03-28,2021,13,1,31.54142857142857,36.74714285714286,26.91857142857143,15.76,55.90428571428571,0.66,0,0.1142857142857143,0.1971428571428571,0.03857142857142858,2.208571428571429,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,30.42571428571429,28.88857142857143,29.86285714285714,29.45428571428571,29.19,29.59285714285715,28.68714285714286,28.25285714285715,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,37.58857142857143,35.21428571428572,36.21428571428572,35.88285714285714,35.97857142857143,36.37285714285714,34.91,34.2,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,24.68142857142857,24.24142857142857,25.01142857142857,24.68428571428571,24.2,24.09,24.19571428571428,23.83285714285714,15.33285714285714,16.03,15.71714285714286,15.07857142857143,16.08,16.46857142857143,16.51571428571429,17.42714285714286,16.51142857142857,16.11285714285714,17.31857142857143,16.30857142857143,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,62.26857142857143,68.82857142857144,65.16142857142857,70.10571428571428,68.06857142857143,65.12285714285714,72.88571428571429,70.50857142857143,0.17,0.8800000000000001,0.16,9.83,2.09,12.8,13.17,17.94,12.92,0.77,19.15,5.720000000000001,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,4.0,0.0,5.0,1.0,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.1242857142857143,0.13,0.1285714285714286,0.12,0.1228571428571429,0.1242857142857143,0.1171428571428571,0.1214285714285714,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.2514285714285714,0.25,0.2757142857142857,0.2214285714285714,0.22,0.2257142857142857,0.2085714285714286,0.2442857142857143,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,0.03571428571428571,0.04857142857142856,0.04428571428571428,0.03,0.03571428571428571,0.04571428571428571,0.03857142857142858,0.04714285714285715,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286,2.122857142857143,2.355714285714286,2.144285714285714,2.29,2.477142857142857,2.42,2.254285714285714,2.222857142857143
2021-04-04,2021,14,0,29.19857142857143,33.54714285714285,25.45857142857142,16.55428571428572,66.94428571428571,5.02,2,0.1328571428571429,0.2385714285714286,0.05,2.068571428571429,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,30.42571428571429,28.88857142857143,29.86285714285714,29.45428571428571,29.19,29.59285714285715,28.68714285714286,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,37.58857142857143,35.21428571428572,36.21428571428572,35.88285714285714,35.97857142857143,36.37285714285714,34.91,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,24.68142857142857,24.24142857142857,25.01142857142857,24.68428571428571,24.2,24.09,24.19571428571428,15.76,15.33285714285714,16.03,15.71714285714286,15.07857142857143,16.08,16.46857142857143,16.51571428571429,17.42714285714286,16.51142857142857,16.11285714285714,17.31857142857143,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,62.26857142857143,68.82857142857144,65.16142857142857,70.10571428571428,68.06857142857143,65.12285714285714,72.88571428571429,0.66,0.17,0.8800000000000001,0.16,9.83,2.09,12.8,13.17,17.94,12.92,0.77,19.15,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,4.0,0.0,5.0,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.1242857142857143,0.13,0.1285714285714286,0.12,0.1228571428571429,0.1242857142857143,0.1171428571428571,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.2514285714285714,0.25,0.2757142857142857,0.2214285714285714,0.22,0.2257142857142857,0.2085714285714286,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,0.03571428571428571,0.04857142857142856,0.04428571428571428,0.03,0.03571428571428571,0.04571428571428571,0.03857142857142858,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286,2.122857142857143,2.355714285714286,2.144285714285714,2.29,2.477142857142857,2.42,2.254285714285714
2021-04-11,2021,15,0,28.12571428571428,32.27857142857143,25.07714285714286,17.90571428571429,76.16285714285713,44.54,5,0.1228571428571429,0.2185714285714286,0.05714285714285715,2.151428571428572,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,29.19857142857143,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,30.42571428571429,28.88857142857143,29.86285714285714,29.45428571428571,29.19,29.59285714285715,33.54714285714285,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,37.58857142857143,35.21428571428572,36.21428571428572,35.88285714285714,35.97857142857143,36.37285714285714,25.45857142857142,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,24.68142857142857,24.24142857142857,25.01142857142857,24.68428571428571,24.2,24.09,16.55428571428572,15.76,15.33285714285714,16.03,15.71714285714286,15.07857142857143,16.08,16.46857142857143,16.51571428571429,17.42714285714286,16.51142857142857,16.11285714285714,66.94428571428571,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,62.26857142857143,68.82857142857144,65.16142857142857,70.10571428571428,68.06857142857143,65.12285714285714,5.02,0.66,0.17,0.8800000000000001,0.16,9.83,2.09,12.8,13.17,17.94,12.92,0.77,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,4.0,0.0,0.1328571428571429,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.1242857142857143,0.13,0.1285714285714286,0.12,0.1228571428571429,0.1242857142857143,0.2385714285714286,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.2514285714285714,0.25,0.2757142857142857,0.2214285714285714,0.22,0.2257142857142857,0.05,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,0.03571428571428571,0.04857142857142856,0.04428571428571428,0.03,0.03571428571428571,0.04571428571428571,2.068571428571429,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286,2.122857142857143,2.355714285714286,2.144285714285714,2.29,2.477142857142857,2.42
2021-04-18,2021,16,0,29.19,34.70428571428572,25.03571428571428,17.53428571428571,71.28714285714285,17.76,1,0.1271428571428571,0.2542857142857143,0.04428571428571428,2.218571428571429,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,28.12571428571428,29.19857142857143,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,30.42571428571429,28.88857142857143,29.86285714285714,29.45428571428571,29.19,32.27857142857143,33.54714285714285,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,37.58857142857143,35.21428571428572,36.21428571428572,35.88285714285714,35.97857142857143,25.07714285714286,25.45857142857142,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,24.68142857142857,24.24142857142857,25.01142857142857,24.68428571428571,24.2,17.90571428571429,16.55428571428572,15.76,15.33285714285714,16.03,15.71714285714286,15.07857142857143,16.08,16.46857142857143,16.51571428571429,17.42714285714286,16.51142857142857,76.16285714285713,66.94428571428571,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,62.26857142857143,68.82857142857144,65.16142857142857,70.10571428571428,68.06857142857143,44.54,5.02,0.66,0.17,0.8800000000000001,0.16,9.83,2.09,12.8,13.17,17.94,12.92,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,4.0,0.1228571428571429,0.1328571428571429,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.1242857142857143,0.13,0.1285714285714286,0.12,0.1228571428571429,0.2185714285714286,0.2385714285714286,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.2514285714285714,0.25,0.2757142857142857,0.2214285714285714,0.22,0.05714285714285715,0.05,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,0.03571428571428571,0.04857142857142856,0.04428571428571428,0.03,0.03571428571428571,2.151428571428572,2.068571428571429,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286,2.122857142857143,2.355714285714286,2.144285714285714,2.29,2.477142857142857
2021-04-25,2021,17,0,29.03714285714286,34.35714285714285,25.04142857142857,16.51428571428571,67.49285714285715,1.46,1,0.1357142857142857,0.2314285714285715,0.06857142857142857,2.151428571428572,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,29.19,28.12571428571428,29.19857142857143,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,30.42571428571429,28.88857142857143,29.86285714285714,29.45428571428571,34.70428571428572,32.27857142857143,33.54714285714285,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,37.58857142857143,35.21428571428572,36.21428571428572,35.88285714285714,25.03571428571428,25.07714285714286,25.45857142857142,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,24.68142857142857,24.24142857142857,25.01142857142857,24.68428571428571,17.53428571428571,17.90571428571429,16.55428571428572,15.76,15.33285714285714,16.03,15.71714285714286,15.07857142857143,16.08,16.46857142857143,16.51571428571429,17.42714285714286,71.28714285714285,76.16285714285713,66.94428571428571,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,62.26857142857143,68.82857142857144,65.16142857142857,70.10571428571428,17.76,44.54,5.02,0.66,0.17,0.8800000000000001,0.16,9.83,2.09,12.8,13.17,17.94,1.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,3.0,0.1271428571428571,0.1228571428571429,0.1328571428571429,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.1242857142857143,0.13,0.1285714285714286,0.12,0.2542857142857143,0.2185714285714286,0.2385714285714286,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.2514285714285714,0.25,0.2757142857142857,0.2214285714285714,0.04428571428571428,0.05714285714285715,0.05,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,0.03571428571428571,0.04857142857142856,0.04428571428571428,0.03,2.218571428571429,2.151428571428572,2.068571428571429,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286,2.122857142857143,2.355714285714286,2.144285714285714,2.29
2021-05-02,2021,18,0,28.54285714285714,33.46,24.73285714285714,16.27571428571429,68.65857142857143,1.46,1,0.1171428571428571,0.2342857142857143,0.03714285714285714,2.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,29.03714285714286,29.19,28.12571428571428,29.19857142857143,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,30.42571428571429,28.88857142857143,29.86285714285714,34.35714285714285,34.70428571428572,32.27857142857143,33.54714285714285,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,37.58857142857143,35.21428571428572,36.21428571428572,25.04142857142857,25.03571428571428,25.07714285714286,25.45857142857142,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,24.68142857142857,24.24142857142857,25.01142857142857,16.51428571428571,17.53428571428571,17.90571428571429,16.55428571428572,15.76,15.33285714285714,16.03,15.71714285714286,15.07857142857143,16.08,16.46857142857143,16.51571428571429,67.49285714285715,71.28714285714285,76.16285714285713,66.94428571428571,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,62.26857142857143,68.82857142857144,65.16142857142857,1.46,17.76,44.54,5.02,0.66,0.17,0.8800000000000001,0.16,9.83,2.09,12.8,13.17,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.1357142857142857,0.1271428571428571,0.1228571428571429,0.1328571428571429,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.1242857142857143,0.13,0.1285714285714286,0.2314285714285715,0.2542857142857143,0.2185714285714286,0.2385714285714286,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.2514285714285714,0.25,0.2757142857142857,0.06857142857142857,0.04428571428571428,0.05714285714285715,0.05,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,0.03571428571428571,0.04857142857142856,0.04428571428571428,2.151428571428572,2.218571428571429,2.151428571428572,2.068571428571429,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286,2.122857142857143,2.355714285714286,2.144285714285714
2021-05-09,2021,19,1,31.24142857142857,37.85142857142857,26.07428571428571,16.87142857142857,62.09857142857143,0.0,0,0.1128571428571429,0.2328571428571428,0.02,2.504285714285714,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,28.54285714285714,29.03714285714286,29.19,28.12571428571428,29.19857142857143,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,30.42571428571429,28.88857142857143,33.46,34.35714285714285,34.70428571428572,32.27857142857143,33.54714285714285,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,37.58857142857143,35.21428571428572,24.73285714285714,25.04142857142857,25.03571428571428,25.07714285714286,25.45857142857142,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,24.68142857142857,24.24142857142857,16.27571428571429,16.51428571428571,17.53428571428571,17.90571428571429,16.55428571428572,15.76,15.33285714285714,16.03,15.71714285714286,15.07857142857143,16.08,16.46857142857143,68.65857142857143,67.49285714285715,71.28714285714285,76.16285714285713,66.94428571428571,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,62.26857142857143,68.82857142857144,1.46,1.46,17.76,44.54,5.02,0.66,0.17,0.8800000000000001,0.16,9.83,2.09,12.8,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.1171428571428571,0.1357142857142857,0.1271428571428571,0.1228571428571429,0.1328571428571429,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.1242857142857143,0.13,0.2342857142857143,0.2314285714285715,0.2542857142857143,0.2185714285714286,0.2385714285714286,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.2514285714285714,0.25,0.03714285714285714,0.06857142857142857,0.04428571428571428,0.05714285714285715,0.05,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,0.03571428571428571,0.04857142857142856,2.5,2.151428571428572,2.218571428571429,2.151428571428572,2.068571428571429,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286,2.122857142857143,2.355714285714286
2021-05-16,2021,20,0,30.06571428571429,34.40714285714286,26.41285714285714,16.99714285714286,65.11285714285715,0.14,0,0.1171428571428571,0.2371428571428571,0.02714285714285714,2.185714285714286,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,31.24142857142857,28.54285714285714,29.03714285714286,29.19,28.12571428571428,29.19857142857143,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,30.42571428571429,37.85142857142857,33.46,34.35714285714285,34.70428571428572,32.27857142857143,33.54714285714285,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,37.58857142857143,26.07428571428571,24.73285714285714,25.04142857142857,25.03571428571428,25.07714285714286,25.45857142857142,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,24.68142857142857,16.87142857142857,16.27571428571429,16.51428571428571,17.53428571428571,17.90571428571429,16.55428571428572,15.76,15.33285714285714,16.03,15.71714285714286,15.07857142857143,16.08,62.09857142857143,68.65857142857143,67.49285714285715,71.28714285714285,76.16285714285713,66.94428571428571,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,62.26857142857143,0.0,1.46,1.46,17.76,44.54,5.02,0.66,0.17,0.8800000000000001,0.16,9.83,2.09,0.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1128571428571429,0.1171428571428571,0.1357142857142857,0.1271428571428571,0.1228571428571429,0.1328571428571429,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.1242857142857143,0.2328571428571428,0.2342857142857143,0.2314285714285715,0.2542857142857143,0.2185714285714286,0.2385714285714286,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.2514285714285714,0.02,0.03714285714285714,0.06857142857142857,0.04428571428571428,0.05714285714285715,0.05,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,0.03571428571428571,2.504285714285714,2.5,2.151428571428572,2.218571428571429,2.151428571428572,2.068571428571429,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286,2.122857142857143
2021-05-23,2021,21,1,29.98571428571429,34.80571428571429,26.33428571428572,17.81285714285714,69.07142857142857,8.75,3,0.1114285714285714,0.19,0.04285714285714286,2.45,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,30.06571428571429,31.24142857142857,28.54285714285714,29.03714285714286,29.19,28.12571428571428,29.19857142857143,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,29.21714285714286,34.40714285714286,37.85142857142857,33.46,34.35714285714285,34.70428571428572,32.27857142857143,33.54714285714285,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,35.84428571428571,26.41285714285714,26.07428571428571,24.73285714285714,25.04142857142857,25.03571428571428,25.07714285714286,25.45857142857142,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,23.86714285714286,16.99714285714286,16.87142857142857,16.27571428571429,16.51428571428571,17.53428571428571,17.90571428571429,16.55428571428572,15.76,15.33285714285714,16.03,15.71714285714286,15.07857142857143,65.11285714285715,62.09857142857143,68.65857142857143,67.49285714285715,71.28714285714285,76.16285714285713,66.94428571428571,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,62.56714285714285,0.14,0.0,1.46,1.46,17.76,44.54,5.02,0.66,0.17,0.8800000000000001,0.16,9.83,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,0.1171428571428571,0.1128571428571429,0.1171428571428571,0.1357142857142857,0.1271428571428571,0.1228571428571429,0.1328571428571429,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.1414285714285714,0.2371428571428571,0.2328571428571428,0.2342857142857143,0.2314285714285715,0.2542857142857143,0.2185714285714286,0.2385714285714286,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.2642857142857143,0.02714285714285714,0.02,0.03714285714285714,0.06857142857142857,0.04428571428571428,0.05714285714285715,0.05,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,0.05571428571428572,2.185714285714286,2.504285714285714,2.5,2.151428571428572,2.218571428571429,2.151428571428572,2.068571428571429,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714,2.155714285714286
2021-05-30,2021,22,0,29.25857142857143,33.85142857142857,25.56,17.23428571428571,69.39142857142858,1.85,1,0.1057142857142857,0.21,0.03,2.314285714285714,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,29.98571428571429,30.06571428571429,31.24142857142857,28.54285714285714,29.03714285714286,29.19,28.12571428571428,29.19857142857143,31.54142857142857,29.67857142857143,28.86857142857142,28.81571428571429,34.80571428571429,34.40714285714286,37.85142857142857,33.46,34.35714285714285,34.70428571428572,32.27857142857143,33.54714285714285,36.74714285714286,35.07714285714285,33.96428571428572,34.60142857142857,26.33428571428572,26.41285714285714,26.07428571428571,24.73285714285714,25.04142857142857,25.03571428571428,25.07714285714286,25.45857142857142,26.91857142857143,25.15428571428571,24.85428571428571,24.41142857142857,17.81285714285714,16.99714285714286,16.87142857142857,16.27571428571429,16.51428571428571,17.53428571428571,17.90571428571429,16.55428571428572,15.76,15.33285714285714,16.03,15.71714285714286,69.07142857142857,65.11285714285715,62.09857142857143,68.65857142857143,67.49285714285715,71.28714285714285,76.16285714285713,66.94428571428571,55.90428571428571,60.71857142857142,66.14571428571428,65.66571428571429,8.75,0.14,0.0,1.46,1.46,17.76,44.54,5.02,0.66,0.17,0.8800000000000001,0.16,3.0,0.0,0.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.1114285714285714,0.1171428571428571,0.1128571428571429,0.1171428571428571,0.1357142857142857,0.1271428571428571,0.1228571428571429,0.1328571428571429,0.1142857142857143,0.1257142857142857,0.1228571428571429,0.1285714285714286,0.19,0.2371428571428571,0.2328571428571428,0.2342857142857143,0.2314285714285715,0.2542857142857143,0.2185714285714286,0.2385714285714286,0.1971428571428571,0.2528571428571428,0.2257142857142857,0.2642857142857143,0.04285714285714286,0.02714285714285714,0.02,0.03714285714285714,0.06857142857142857,0.04428571428571428,0.05714285714285715,0.05,0.03857142857142858,0.04571428571428571,0.04857142857142858,0.04285714285714286,2.45,2.185714285714286,2.504285714285714,2.5,2.151428571428572,2.218571428571429,2.151428571428572,2.068571428571429,2.208571428571429,2.141428571428571,2.122857142857143,2.154285714285714
